Total_Word_Count,Has_Photo,Has_Colors,Pages,Keyword_Count,Education_Exists,Education_Word_Count,Work_Experience_Exists,Work_Experience_Word_Count,Skills_Exists,Skills_Word_Count,Certifications_Exists,Certifications_Word_Count,Achievements_Exists,Achievements_Word_Count,Professional_Profile_Exists,Professional_Profile_Word_Count,Projects_Exists,projects_Word_Count,volunteer_work_Exists,volunteer_work_Word_Count,Passed
1055,0,0,4,54,1,27,1,112,1,333,0,0,0,0,0,0,0,0,0,0,0
482,0,0,2,3,0,0,1,38,0,0,0,0,1,30,0,0,0,0,0,0,1
312,0,0,2,14,0,0,1,149,1,68,0,0,0,0,0,0,0,0,0,0,0
308,1,1,1,23,1,23,1,14,1,19,0,0,1,9,1,64,1,25,0,0,1
683,0,1,3,19,1,24,1,87,1,10,1,28,0,0,1,5,0,0,0,0,1
586,1,1,2,26,1,19,1,55,1,49,0,0,0,0,1,6,1,424,0,0,1
1085,1,1,4,9,1,31,1,22,1,333,1,28,0,0,1,64,0,0,0,0,1
686,1,1,3,46,1,10,1,397,1,58,0,0,0,0,1,5,1,18,0,0,0
961,0,0,4,12,1,17,1,65,1,91,0,0,0,0,0,0,1,424,0,0,0
263,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
354,1,1,1,10,1,42,1,50,1,51,1,28,0,0,1,8,1,117,0,0,1
369,1,1,1,19,1,25,1,2,1,307,0,0,0,0,0,0,0,0,0,0,0
413,0,0,1,35,1,176,1,41,1,1,0,0,0,0,1,28,0,0,0,0,0
1003,1,1,2,16,0,0,1,311,0,0,0,0,0,0,1,64,1,3,0,0,0
739,1,1,3,35,1,145,1,4,1,40,1,11,0,0,1,35,1,28,0,0,0
256,1,1,1,12,0,0,1,144,1,107,0,0,0,0,0,0,0,0,0,0,1
309,1,0,1,5,0,0,1,6,0,0,0,0,0,0,1,64,0,0,0,0,0
772,0,0,4,36,1,70,1,116,0,0,0,0,0,0,1,2,1,424,0,0,1
376,1,1,3,16,1,42,1,86,1,240,0,0,0,0,0,0,0,0,0,0,1
1203,0,0,4,27,1,29,1,343,0,0,1,28,0,0,1,64,1,424,0,0,1
769,1,1,2,34,1,50,1,397,1,74,0,0,0,0,1,12,0,0,0,0,1
349,0,1,3,54,1,15,1,20,1,25,0,0,0,0,1,8,1,258,0,0,0
831,0,0,3,27,1,1,1,45,1,14,0,0,0,0,1,64,1,306,0,0,0
716,0,1,3,27,1,32,1,30,1,333,0,0,0,0,1,6,0,0,0,0,0
881,0,0,3,16,1,2,1,7,1,140,1,28,0,0,0,0,1,15,0,0,0
1044,0,1,3,31,1,44,1,18,1,25,0,0,0,0,0,0,1,424,0,0,0
473,0,1,2,11,1,39,1,351,1,71,0,0,0,0,0,0,0,0,0,0,1
881,0,0,3,20,1,2,1,7,1,140,1,28,0,0,0,0,1,15,0,0,0
760,0,0,2,23,1,35,1,5,1,70,0,0,0,0,1,25,1,191,0,0,0
565,1,1,2,22,1,32,1,99,1,13,0,0,0,0,1,5,1,400,0,0,0
557,0,1,2,34,1,10,1,385,1,32,0,0,0,0,1,62,1,27,0,0,1
1159,0,0,3,34,1,10,1,31,1,333,0,0,0,0,1,52,0,0,0,0,1
391,1,1,1,4,1,176,1,26,1,151,0,0,0,0,1,12,0,0,0,0,0
400,1,1,1,35,0,0,1,10,0,0,0,0,0,0,0,0,1,354,0,0,0
557,0,0,2,18,1,22,1,1,1,2,1,21,0,0,1,64,1,308,0,0,1
1133,1,1,4,24,1,59,1,397,1,58,1,28,0,0,1,22,1,43,0,0,0
508,0,1,3,12,1,50,1,81,1,73,0,0,0,0,1,64,0,0,0,0,1
508,0,0,1,30,1,23,1,17,1,11,0,0,0,0,0,0,1,272,0,0,1
727,1,1,2,14,1,91,1,10,0,0,0,0,1,30,1,18,1,324,0,0,0
558,1,1,2,19,1,97,1,238,1,34,0,0,0,0,1,9,1,154,0,0,0
1203,1,1,7,81,1,176,1,25,1,333,0,0,1,30,1,7,1,424,0,0,1
1203,0,0,3,18,1,26,1,8,0,0,0,0,1,30,1,5,1,37,0,0,1
865,0,0,4,37,1,43,1,29,1,3,0,0,0,0,1,14,0,0,0,0,0
606,1,1,3,30,1,176,1,7,1,2,0,0,1,30,1,28,1,233,0,0,1
890,0,0,5,58,1,24,1,166,1,101,0,0,0,0,1,64,1,244,0,0,1
474,0,0,2,44,1,13,1,30,1,333,0,0,0,0,0,0,1,17,0,0,0
415,1,1,1,37,1,1,1,277,1,27,0,0,0,0,0,0,1,54,0,0,0
955,0,1,4,38,0,0,1,124,1,68,1,28,0,0,0,0,1,148,0,0,0
337,1,1,2,17,1,1,1,3,1,176,0,0,0,0,1,2,1,116,0,0,0
346,0,1,2,0,1,19,1,137,0,0,0,0,1,30,1,13,1,117,0,0,1
286,0,0,1,13,0,0,1,48,1,1,0,0,0,0,1,4,0,0,0,0,1
763,1,1,3,29,0,0,1,397,0,0,0,0,0,0,0,0,0,0,0,0,0
631,0,1,2,21,1,15,1,397,1,2,0,0,0,0,1,2,0,0,0,0,0
466,1,1,1,37,0,0,1,36,1,61,0,0,0,0,0,0,1,229,0,0,0
674,1,1,2,11,0,0,1,389,1,187,0,0,0,0,0,0,1,79,0,0,1
562,1,1,3,11,1,116,1,18,1,42,0,0,0,0,1,32,1,305,0,0,1
780,1,1,5,14,1,19,1,3,0,0,1,7,1,30,1,18,1,40,0,0,0
370,1,1,1,16,1,10,1,47,1,158,1,28,0,0,0,0,1,4,0,0,0
1203,1,1,8,58,1,106,1,5,1,115,0,0,0,0,1,9,1,424,0,0,0
524,0,0,1,7,1,43,1,205,1,1,0,0,0,0,1,3,1,191,1,29,0
641,0,0,2,24,1,13,1,70,1,2,0,0,1,30,0,0,0,0,0,0,1
617,0,1,4,77,1,46,1,36,1,333,0,0,0,0,1,8,0,0,0,0,1
1203,1,1,8,11,0,0,1,397,0,0,0,0,0,0,0,0,0,0,0,0,1
285,0,1,2,10,1,12,1,50,1,150,0,0,0,0,1,13,1,28,0,0,0
560,0,0,2,13,1,14,1,397,1,2,0,0,0,0,0,0,0,0,0,0,0
418,0,0,1,26,1,14,1,52,1,3,0,0,0,0,0,0,0,0,0,0,0
301,1,1,3,19,0,0,1,250,0,0,0,0,0,0,0,0,0,0,0,0,0
1203,1,1,6,58,1,26,1,397,0,0,0,0,0,0,0,0,0,0,0,0,1
450,0,1,1,23,1,15,1,342,1,51,0,0,1,30,0,0,0,0,0,0,0
559,0,0,1,18,0,0,1,48,0,0,0,0,0,0,0,0,1,393,0,0,1
789,1,1,4,25,1,176,1,55,1,35,0,0,0,0,1,9,1,105,0,0,0
1203,1,1,6,42,1,17,1,168,1,1,0,0,0,0,0,0,1,424,0,0,0
799,0,0,2,14,1,40,1,397,1,15,0,0,0,0,1,4,0,0,0,0,0
1203,1,1,6,46,1,137,1,111,1,71,0,0,0,0,0,0,1,424,0,0,1
930,1,1,3,24,1,2,1,17,1,126,0,0,0,0,1,10,1,424,0,0,1
1203,0,0,7,88,1,176,1,397,0,0,0,0,0,0,0,0,1,424,0,0,0
256,1,1,1,10,1,12,1,211,0,0,0,0,0,0,0,0,0,0,0,0,0
847,0,0,2,12,1,2,1,4,1,25,0,0,0,0,1,8,1,424,0,0,1
1135,0,0,4,11,1,176,1,86,0,0,0,0,1,26,1,5,1,424,0,0,1
507,1,1,2,25,1,25,1,296,1,41,0,0,0,0,1,20,1,121,0,0,0
1203,0,0,5,45,0,0,1,61,0,0,0,0,1,30,1,64,1,424,0,0,0
839,0,0,3,36,1,16,1,44,1,105,0,0,1,30,1,19,0,0,0,0,1
545,1,1,3,20,0,0,1,4,1,139,0,0,1,30,1,8,1,10,0,0,1
678,1,1,3,7,1,35,1,103,1,12,0,0,1,30,0,0,0,0,0,0,1
561,1,1,3,10,1,65,1,234,1,59,0,0,0,0,1,5,1,162,0,0,1
754,0,0,3,12,1,14,1,64,0,0,0,0,0,0,1,28,0,0,0,0,1
1203,0,0,6,45,1,176,1,16,1,53,0,0,0,0,1,51,1,116,0,0,0
690,0,0,3,16,1,78,1,57,1,17,1,28,1,30,0,0,0,0,0,0,0
941,0,0,3,28,1,62,1,33,1,333,0,0,0,0,1,22,1,17,0,0,1
348,1,1,2,26,1,45,1,12,1,4,0,0,0,0,0,0,1,80,0,0,1
859,1,1,5,14,1,26,1,5,1,21,0,0,0,0,1,9,1,56,0,0,1
452,0,1,1,35,1,30,1,194,1,184,0,0,0,0,0,0,1,7,0,0,1
752,0,0,1,29,1,176,1,38,1,72,0,0,0,0,1,49,1,88,0,0,0
588,1,1,4,1,1,41,1,335,0,0,0,0,0,0,0,0,1,140,0,0,1
1087,0,0,3,62,1,14,1,53,1,121,1,28,0,0,1,8,1,306,0,0,1
579,0,1,2,31,1,2,1,32,1,333,0,0,0,0,0,0,1,90,0,0,1
288,1,1,1,5,0,0,1,224,0,0,0,0,0,0,0,0,0,0,0,0,0
947,0,1,2,63,1,84,1,18,1,333,1,23,0,0,1,36,1,8,1,18,1
774,0,0,2,28,1,1,1,21,1,75,0,0,0,0,1,14,1,424,0,0,0
1203,0,0,6,111,1,170,1,254,1,21,0,0,1,30,1,7,1,424,0,0,0
526,0,0,2,11,1,11,1,35,1,18,0,0,0,0,0,0,1,116,0,0,1
845,1,1,8,13,0,0,1,397,0,0,0,0,0,0,0,0,0,0,0,0,0
292,0,0,1,14,1,2,1,191,1,42,1,1,0,0,0,0,1,44,0,0,1
752,1,1,2,27,0,0,1,397,0,0,0,0,0,0,0,0,0,0,0,0,1
412,0,0,2,27,1,20,1,256,1,95,0,0,0,0,0,0,1,19,0,0,0
487,0,0,2,17,0,0,1,126,1,4,0,0,0,0,0,0,1,154,0,0,0
440,0,1,2,17,1,47,1,118,1,20,0,0,0,0,1,64,1,15,1,14,1
1203,1,1,4,36,1,2,1,109,1,190,0,0,0,0,1,7,0,0,0,0,1
773,1,1,5,12,0,0,1,283,0,0,0,0,0,0,0,0,0,0,0,0,1
944,0,0,2,38,1,23,1,397,1,112,0,0,0,0,1,64,0,0,0,0,1
646,1,1,3,46,1,21,1,2,1,2,0,0,0,0,0,0,1,339,0,0,1
701,1,1,3,23,0,0,1,397,0,0,0,0,0,0,0,0,0,0,0,0,0
770,1,1,2,10,0,0,1,130,1,223,0,0,0,0,1,64,0,0,0,0,0
459,0,0,2,22,1,10,1,263,1,6,0,0,0,0,1,26,1,10,0,0,1
782,0,0,1,32,1,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
308,0,0,1,15,1,14,1,152,0,0,0,0,0,0,0,0,0,0,0,0,1
535,0,0,2,18,1,55,1,397,1,58,0,0,0,0,0,0,0,0,0,0,0
433,1,1,2,23,0,0,1,2,1,105,0,0,0,0,1,64,0,0,0,0,0
629,0,0,1,23,0,0,1,8,0,0,0,0,0,0,0,0,1,400,0,0,0
301,0,0,1,11,1,14,1,26,0,0,0,0,0,0,1,64,1,100,0,0,0
405,0,0,1,11,1,17,1,168,1,63,0,0,0,0,0,0,1,141,0,0,0
925,1,0,4,28,1,47,1,19,1,58,1,28,1,30,0,0,1,31,0,0,1
208,0,0,1,6,1,32,1,59,1,89,0,0,0,0,1,12,0,0,0,0,0
615,0,1,1,8,1,14,1,149,0,0,0,0,0,0,1,1,1,424,0,0,0
569,0,0,3,38,1,16,1,11,1,333,0,0,0,0,1,11,1,12,0,0,1
480,0,0,2,1,0,0,1,20,0,0,0,0,1,30,1,14,0,0,0,0,0
796,0,1,3,36,1,27,1,48,1,145,0,0,0,0,1,8,1,94,0,0,0
453,1,0,1,12,1,80,1,4,1,91,0,0,0,0,1,31,1,130,0,0,1
633,0,0,2,11,0,0,1,13,1,35,0,0,0,0,0,0,1,279,0,0,0
628,1,0,2,27,1,122,1,5,1,60,0,0,0,0,1,2,1,396,0,0,0
454,0,0,1,23,1,17,1,44,1,39,0,0,0,0,0,0,1,334,0,0,0
1098,0,1,3,45,1,134,1,131,1,100,1,28,0,0,1,64,1,31,1,485,0
1203,1,0,8,49,1,25,1,27,1,23,1,28,0,0,1,6,1,101,0,0,0
550,1,1,2,16,1,41,1,24,1,29,1,28,0,0,1,3,0,0,0,0,1
710,0,0,2,7,0,0,1,397,0,0,0,0,0,0,0,0,0,0,0,0,0
426,0,1,1,16,1,22,1,43,1,5,0,0,0,0,1,64,1,28,0,0,0
736,1,0,2,21,1,23,1,29,1,233,0,0,0,0,1,30,1,398,0,0,0
522,0,0,2,28,1,16,1,397,1,2,0,0,0,0,0,0,0,0,0,0,1
728,0,0,3,4,1,42,1,66,1,2,1,28,0,0,1,64,0,0,0,0,0
519,1,1,2,16,1,23,1,326,1,7,0,0,0,0,1,9,0,0,1,122,0
721,0,1,2,24,1,170,1,32,1,195,0,0,0,0,0,0,1,108,0,0,0
1068,1,1,5,50,1,24,1,24,1,52,1,28,0,0,0,0,1,105,0,0,1
1203,1,1,6,74,1,176,1,17,1,333,0,0,0,0,1,64,1,132,0,0,0
442,1,1,3,15,1,14,1,290,1,2,0,0,0,0,0,0,1,111,0,0,1
725,1,1,7,15,1,13,1,25,1,31,0,0,1,30,1,32,1,424,0,0,1
436,0,0,2,16,1,21,1,26,1,108,0,0,0,0,1,64,1,6,0,0,1
181,1,1,1,9,1,120,1,19,1,34,0,0,0,0,0,0,0,0,0,0,1
337,1,1,1,13,1,150,1,3,1,145,0,0,0,0,1,36,0,0,0,0,1
494,0,0,2,26,1,13,1,397,0,0,0,0,0,0,1,13,0,0,0,0,1
668,0,0,2,17,1,21,1,267,1,2,0,0,0,0,0,0,1,202,0,0,0
406,1,1,2,28,0,0,1,182,1,3,0,0,0,0,0,0,1,49,0,0,0
668,0,0,3,26,1,16,1,48,1,333,1,4,0,0,1,11,1,44,0,0,1
728,0,0,2,31,1,122,1,18,1,333,1,1,0,0,1,47,1,36,0,0,1
402,1,1,3,50,1,61,1,152,1,1,0,0,0,0,1,64,0,0,0,0,0
406,0,0,1,24,0,0,1,321,0,0,0,0,0,0,0,0,0,0,0,0,1
1203,0,1,4,19,1,50,1,30,1,68,0,0,0,0,0,0,1,424,0,0,0
256,1,1,1,6,0,0,1,13,1,140,0,0,1,30,0,0,0,0,0,0,0
1121,1,1,10,16,1,4,1,64,1,7,0,0,0,0,1,26,1,43,0,0,1
636,1,1,6,9,1,176,1,21,0,0,0,0,0,0,1,10,1,29,0,0,0
1203,1,1,10,20,1,63,1,26,0,0,0,0,1,30,0,0,1,38,0,0,1
378,0,0,1,14,1,19,1,18,1,262,0,0,0,0,1,8,1,50,0,0,1
319,1,1,1,10,0,0,1,33,1,238,0,0,1,3,1,10,1,24,0,0,0
724,0,0,3,20,0,0,1,35,1,6,0,0,0,0,0,0,1,17,0,0,0
619,0,1,1,10,1,39,1,266,1,9,0,0,1,30,1,35,1,113,0,0,1
330,0,1,1,31,1,144,1,15,1,22,0,0,0,0,1,3,1,124,0,0,0
123,1,1,1,7,1,13,1,48,1,25,0,0,0,0,1,1,1,32,0,0,0
632,1,1,3,14,1,12,1,172,1,126,1,26,0,0,1,6,1,283,0,0,1
930,1,1,3,24,1,2,1,17,1,126,0,0,0,0,1,10,1,424,0,0,1
633,0,0,4,21,1,16,1,3,0,0,1,28,0,0,1,11,1,90,0,0,1
834,1,1,6,11,1,176,1,367,0,0,0,0,0,0,1,64,1,3,0,0,0
328,1,1,1,1,0,0,1,166,1,4,0,0,0,0,1,11,0,0,0,0,1
820,0,0,2,32,1,16,1,397,1,28,1,11,0,0,0,0,1,188,0,0,0
432,1,1,1,7,0,0,1,384,0,0,0,0,0,0,0,0,0,0,0,0,1
401,1,1,2,4,1,33,1,37,1,40,0,0,0,0,1,64,0,0,0,0,0
659,1,1,3,18,1,176,1,12,1,45,0,0,0,0,1,9,0,0,0,0,0
564,0,0,3,67,1,21,1,397,1,2,0,0,0,0,1,9,0,0,0,0,0
1177,0,1,4,66,1,13,1,20,1,3,0,0,0,0,1,64,1,424,0,0,1
597,0,0,2,25,1,176,1,95,0,0,0,0,0,0,1,5,0,0,0,0,0
362,1,1,1,19,1,116,1,2,1,31,0,0,0,0,0,0,1,90,0,0,0
655,0,0,3,39,1,27,1,397,1,4,1,2,0,0,1,31,0,0,0,0,0
1063,0,0,6,28,0,0,1,397,1,2,1,28,0,0,0,0,1,424,0,0,1
351,1,1,1,9,1,38,1,21,1,3,0,0,0,0,0,0,0,0,0,0,1
584,0,0,4,22,1,12,1,28,1,17,0,0,0,0,1,14,1,15,0,0,0
1188,1,1,7,48,1,26,1,397,0,0,0,0,0,0,0,0,1,1,0,0,1
525,0,1,2,46,1,28,1,18,1,9,1,25,0,0,0,0,1,363,0,0,1
1203,1,1,4,29,1,74,1,397,1,12,0,0,0,0,1,29,1,15,0,0,1
399,1,1,2,3,1,23,1,37,1,49,1,28,0,0,1,3,0,0,0,0,0
185,0,0,1,12,1,80,1,6,1,7,0,0,0,0,0,0,1,92,0,0,0
221,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
651,1,1,2,16,1,141,1,15,1,165,1,28,0,0,1,11,0,0,0,0,1
488,0,0,3,14,0,0,1,219,1,164,0,0,0,0,0,0,0,0,0,0,0
277,0,0,2,20,1,1,1,55,1,65,0,0,0,0,0,0,1,79,0,0,1
396,0,0,1,38,1,57,1,32,1,2,0,0,0,0,0,0,1,42,0,0,1
323,1,1,1,13,1,5,1,51,1,39,0,0,0,0,1,31,1,125,0,0,0
493,0,0,2,13,1,29,1,397,0,0,0,0,0,0,0,0,0,0,0,0,1
1108,1,1,3,41,1,3,1,58,1,333,0,0,0,0,0,0,0,0,0,0,0
1155,1,1,4,25,0,0,0,0,1,333,0,0,0,0,0,0,0,0,0,0,0
923,0,0,2,29,1,31,1,68,1,333,0,0,0,0,0,0,1,22,0,0,1
1152,0,0,4,46,1,168,1,55,1,35,0,0,1,30,1,1,1,95,0,0,0
1051,0,0,4,21,0,0,1,25,1,4,1,28,0,0,1,64,1,78,0,0,0
531,0,0,2,11,1,42,1,31,0,0,1,27,0,0,1,7,1,74,0,0,0
173,0,0,1,2,1,72,1,22,1,17,0,0,0,0,0,0,0,0,0,0,0
445,0,0,1,19,1,50,1,18,1,56,0,0,1,4,0,0,1,296,0,0,0
440,0,0,2,9,1,50,1,249,1,12,0,0,0,0,0,0,1,95,0,0,1
664,1,1,2,19,1,76,1,361,1,17,0,0,0,0,1,25,0,0,0,0,1
386,1,1,1,28,1,32,1,14,1,22,0,0,0,0,0,0,1,267,0,0,0
613,0,0,2,18,1,176,1,169,1,33,0,0,0,0,0,0,1,58,0,0,0
450,0,0,1,14,0,0,1,4,0,0,0,0,0,0,0,0,1,404,0,0,0
676,1,1,3,15,0,0,1,15,1,333,0,0,0,0,0,0,1,33,0,0,0
357,0,1,1,13,1,2,1,139,1,1,1,23,0,0,0,0,0,0,0,0,0
978,1,1,6,26,0,0,0,0,0,0,0,0,0,0,1,64,0,0,0,0,1
591,1,1,5,13,1,24,1,93,1,59,1,28,0,0,0,0,1,114,0,0,0
840,1,1,4,26,1,78,1,33,1,8,0,0,0,0,0,0,1,424,0,0,0
760,0,0,2,23,1,35,1,5,1,70,0,0,0,0,1,25,1,191,0,0,1
507,0,0,1,27,1,36,1,11,1,214,0,0,0,0,1,29,1,134,0,0,1
1203,0,0,9,51,1,176,1,199,1,65,0,0,0,0,1,8,0,0,0,0,1
249,1,1,1,7,1,24,1,202,0,0,0,0,0,0,0,0,1,4,0,0,0
1063,0,0,6,28,0,0,1,397,1,2,1,28,0,0,0,0,1,424,0,0,0
1133,1,0,4,45,1,53,1,397,1,10,0,0,0,0,0,0,0,0,0,0,1
1203,1,1,10,36,1,26,1,174,1,10,0,0,0,0,1,20,1,424,0,0,0
319,1,1,1,4,1,22,1,89,1,27,0,0,0,0,1,33,1,38,0,0,1
1203,1,1,19,11,1,68,1,11,1,94,0,0,0,0,1,3,1,424,0,0,0
442,0,0,1,9,1,64,1,29,1,44,1,28,0,0,1,64,1,194,0,0,0
281,0,0,1,6,0,0,1,73,0,0,0,0,1,30,0,0,1,138,0,0,0
279,0,0,2,16,1,27,1,55,0,0,0,0,0,0,1,2,1,180,0,0,1
1203,0,0,5,39,1,140,1,226,0,0,0,0,0,0,0,0,1,424,0,0,0
1203,1,1,6,21,0,0,1,397,1,333,0,0,0,0,1,64,0,0,1,72,0
1203,1,1,3,99,1,176,1,46,1,333,0,0,0,0,1,64,0,0,0,0,1
72,0,0,3,8,0,0,1,37,0,0,0,0,0,0,0,0,0,0,0,0,0
742,0,0,2,23,1,176,1,127,0,0,0,0,0,0,0,0,1,295,0,0,1
482,0,1,2,24,1,100,1,40,1,3,0,0,0,0,1,8,1,185,0,0,1
380,0,0,1,12,1,45,1,9,0,0,0,0,0,0,1,28,1,32,0,0,0
1203,0,0,4,31,1,46,1,12,1,131,1,24,1,30,1,5,1,175,0,0,0
