,Páginas,professional_profile,education,work_experience,skills,certifications,achievements,languages,projects,training_courses,volunteer_work,Orden Cronológico,Formato de Texto,Densidad de Información,Cantidad de Palabras, % Lenguaje de Técnico,LinkedIn,GitHub,Personal Website,Tablas,Errores de ortografia,Fuente principal,Tamaño de fuente más usado,Legibilidad,Uso de negritas,Uso de cursivas,Uso de colores (excluyendo fondo blanco y links),Porcentaje de color real en la CV,Cantidad de imágenes o gráficos,Alineación principal,Consistencia de tamaños,Consistencia de márgenes,Passed
29,5,95,255,42,92,0,0,17,33,79,45,Orden Cronológico,Viñetas,14.04,1518,1.8856065367693273,False,False,False,9,292,CIDFont+F1,9.0,Deficiente,0,0,Sí,0.79%,11,Justificado,Inconsistente,Inconsistente,1
30,3,266,141,251,0,174,35,0,112,50,21,Orden Cronológico,Viñetas,24.32,1599,5.62003665241295,False,False,False,0,366,BCDFEE+Raleway-Regular,12.0,Buena,75,33,Sí,4.42%,3,Justificado,Inconsistente,Inconsistente,1
31,8,1,173,79,5,53,0,16,33,102,3,Orden Cronológico,Viñetas,7.07,618,2.689075630252101,False,False,False,1,297,AAAAAD+GlyphLessFont,6.0,Deficiente,25,0,Sí,2.85%,27,Justificado,Inconsistente,Consistente,1
32,3,84,57,26,41,0,7,19,80,114,0,Orden Cronológico,Viñetas,16.0,668,6.202723146747353,False,False,False,3,74,Raleway-Regular,10.1,Buena,84,0,Sí,7.8%,0,Justificado,Inconsistente,Inconsistente,1
33,2,38,29,71,48,0,0,11,0,25,69,Orden Cronológico,Viñetas,12.73,455,0.14534883720930233,False,False,False,2,53,BAAAAA+Inter-Regular,8.2,Deficiente,46,0,Sí,36.03%,0,Justificado,Inconsistente,Consistente,1
34,6,72,304,94,157,0,0,48,107,0,12,Orden Cronológico,Viñetas,16.62,1078,3.793103448275862,False,True,True,6,116,DAAAAA+Montserrat-Regular,12.0,Buena,76,0,Sí,2.74%,9,Justificado,Inconsistente,Inconsistente,1
35,3,12,22,22,0,8,0,0,30,14,4,Orden Cronológico,Viñetas,27.39,153,0.24656569214512153,False,False,False,1,245,BAAAAA+Roboto-Regular,11.0,Buena,84,0,Sí,1.11%,1,Justificado,Inconsistente,Inconsistente,1
36,1,13,20,56,0,0,0,98,85,29,6,Orden Cronológico,Viñetas,23.3,461,11.11111111111111,True,False,False,1,56,DAAAAA+Raleway-Regular,8.0,Deficiente,64,0,Sí,0.58%,0,Justificado,Inconsistente,Consistente,1
37,3,21,277,57,0,33,0,72,77,0,0,Orden Cronológico,Viñetas,14.55,728,10.72961373390558,False,False,False,0,57,BCDEEE+TrebuchetMS,10.0,Buena,39,0,Sí,0.15%,0,Justificado,Inconsistente,Inconsistente,1
38,3,9,20,39,30,0,17,0,0,15,7,Orden Cronológico,Viñetas,16.85,239,3.731343283582089,False,False,False,14,159,BAAAAA+ArialMT,10.0,Buena,56,0,Sí,0.04%,0,Justificado,Inconsistente,Inconsistente,1
39,2,29,133,50,0,15,0,0,44,288,0,Orden Cronológico,Mixto,24.35,847,4.342723004694836,False,False,False,0,71,CIDFont+F4,9.9,Deficiente,0,0,Sí,3.26%,0,Justificado,Consistente,Consistente,1
40,1,1,22,0,34,0,0,4,2,48,20,Orden Cronológico,Viñetas,29.86,187,3.9215686274509802,False,False,False,0,100,IIFULB+ClearSans,10.0,Buena,0,0,No,0.0%,0,Justificado,Inconsistente,Consistente,1
41,2,1,17,9,2,41,18,2,22,5,0,No se detectaron suficientes fechas,Viñetas,16.15,169,2.7607361963190185,False,False,False,1,115,YJOYCV+NimbusSanL-Regu,9.0,Deficiente,0,0,Sí,1.52%,6,Justificado,Inconsistente,Consistente,1
42,2,11,29,4,0,2,6,0,9,1,5,No se detectaron suficientes fechas,Viñetas,15.77,128,2.0155038759689923,False,False,False,0,97,DAAAAA+Merriweather-Regular,9.0,Deficiente,20,7,Sí,0.07%,0,Justificado,Inconsistente,Consistente,1
43,4,148,50,6,4,2,1,18,26,3,0,Orden Cronológico,Viñetas,20.11,389,5.681818181818182,False,False,False,0,268,BAAAAA+Calibri,11.0,Buena,76,0,Sí,0.22%,0,Justificado,Inconsistente,Inconsistente,1
44,5,80,172,77,67,0,32,0,128,46,36,Orden Cronológico,Viñetas,14.42,890,8.640552995391705,False,False,False,1,102,AAAAAM+ArialMT,12.0,Buena,31,0,Sí,0.04%,0,Justificado,Consistente,Inconsistente,1
45,1,0,12,16,4,0,7,6,10,48,15,Orden Cronológico,Viñetas,13.26,173,3.349282296650718,False,False,False,1,23,CAAAAA+NunitoSans-Regular,10.0,Buena,87,0,No,0.0%,0,Justificado,Inconsistente,Consistente,1
46,3,69,162,109,12,46,26,36,37,15,0,Orden Cronológico,Mixto,19.21,839,5.225653206650831,True,False,False,3,51,BAAAAA+ArialMT,11.0,Buena,97,0,No,0.0%,0,Justificado,Consistente,Inconsistente,1
47,6,46,7,207,0,0,0,0,367,142,0,Orden Cronológico,Viñetas,12.05,978,2.839756592292089,False,False,False,0,495,BCDFEE+Tahoma,11.0,Buena,111,0,Sí,0.08%,1,Justificado,Consistente,Inconsistente,1
48,2,1,9,9,28,0,0,2,30,77,0,Orden Cronológico,Viñetas,25.24,279,3.5759897828863343,False,False,False,0,169,BAAAAA+HelveticaNeue,10.5,Buena,114,7,No,0.0%,0,Justificado,Inconsistente,Consistente,1
49,3,54,77,45,20,29,0,7,111,14,0,Orden Cronológico,Viñetas,10.38,631,7.078039927404718,False,False,False,1,58,AAAAAA+Lato-Regular,8.0,Deficiente,54,0,Sí,2.75%,9,Justificado,Inconsistente,Inconsistente,1
50,6,210,126,16,41,51,0,32,51,110,0,Orden Cronológico,Viñetas,13.05,993,4.37956204379562,False,False,False,0,152,ArialMT,10.0,Buena,193,72,Sí,0.06%,0,Justificado,Inconsistente,Inconsistente,1
51,3,27,137,13,21,0,0,15,44,39,0,Orden Cronológico,Viñetas,17.08,432,2.7716994894237783,False,False,False,0,138,CAAAAA+Merriweather-Regular,9.0,Deficiente,24,9,Sí,0.24%,0,Justificado,Inconsistente,Inconsistente,1
52,2,10,8,10,0,3,7,11,24,12,0,Orden Cronológico,Viñetas,32.67,149,4.824561403508771,False,False,False,1,229,AAAAAA+ArialMT,10.0,Buena,3,0,Sí,0.11%,0,Justificado,Inconsistente,Consistente,1
53,3,150,20,55,52,12,0,4,48,12,0,Orden Cronológico,Viñetas,13.87,561,1.2594458438287155,False,False,False,0,98,BAAAAA+Calibri,12.0,Buena,81,20,Sí,0.29%,1,Justificado,Consistente,Inconsistente,1
54,3,0,49,54,154,0,0,7,203,50,0,Orden Cronológico,Viñetas,15.99,928,4.147982062780269,True,False,False,3,97,HYBUEU+OpenSans-Regular,9.0,Deficiente,125,33,Sí,0.38%,1,Justificado,Inconsistente,Inconsistente,1
55,1,22,39,15,0,0,0,59,0,126,0,Orden Cronológico,Viñetas,27.74,396,7.352941176470589,False,False,False,0,71,VMBAGR+CMR10,10.0,Buena,0,0,Sí,0.22%,0,Justificado,Inconsistente,Consistente,1
56,2,63,258,173,9,0,0,6,7,18,0,Orden Cronológico,Viñetas,22.53,785,6.78391959798995,False,False,False,0,65,BCDEEE+Raleway,9.0,Deficiente,75,187,Sí,10.78%,2,Justificado,Inconsistente,Consistente,1
57,5,98,0,107,0,0,20,0,373,0,0,Orden Cronológico,Viñetas,14.42,768,2.3404255319148937,False,False,False,0,410,DAAAAA+ArialMT,12.0,Buena,77,6,Sí,0.73%,2,Justificado,Inconsistente,Inconsistente,1
58,2,181,43,20,28,0,0,10,27,35,0,Orden Cronológico,Viñetas,20.13,473,5.168539325842696,False,False,False,0,56,BCDEEE+Calibri,11.0,Buena,85,0,Sí,1.05%,0,Justificado,Inconsistente,Consistente,1
59,4,45,38,23,46,0,0,0,0,60,0,Orden Cronológico,Viñetas,13.25,319,0.2891692954784437,False,False,False,0,153,BAAAAA+Roboto-Regular,10.0,Buena,58,37,Sí,0.1%,4,Justificado,Inconsistente,Inconsistente,1
60,1,77,100,13,123,10,0,0,48,20,0,Orden Cronológico,Viñetas,45.4,507,15.678776290630974,False,False,False,0,47,CAAAAA+DejaVuSans,11.0,Buena,42,0,Sí,0.74%,0,Justificado,Inconsistente,Consistente,1
61,4,91,84,118,34,118,15,31,264,438,6,Orden Cronológico,Mixto,23.21,1930,6.764551651809124,True,False,False,8,142,AAAAAG+Montserrat-Medium,7.9,Deficiente,247,342,Sí,0.46%,7,Justificado,Inconsistente,Inconsistente,1
62,2,58,138,32,30,0,0,0,43,0,0,Orden Cronológico,Viñetas,17.74,432,3.8461538461538463,False,False,False,1,32,AAAAAA+Montserrat-Light,10.4,Buena,15,0,Sí,0.01%,0,Justificado,Inconsistente,Consistente,1
63,2,0,92,107,0,0,0,14,118,0,0,Orden Cronológico,Mixto,15.33,522,6.16822429906542,True,False,False,0,48,BCDGEE+___WRD_EMBED_SUB_43,10.0,Buena,45,39,Sí,0.05%,0,Justificado,Inconsistente,Consistente,1
64,3,157,95,31,4,0,0,37,0,35,10,Orden Cronológico,Viñetas,14.69,562,1.2962962962962963,False,False,False,0,47,ArialMT,10.6,Buena,106,0,Sí,0.14%,5,Justificado,Inconsistente,Inconsistente,1
65,1,82,8,0,13,0,0,0,19,0,5,Orden Cronológico,Viñetas,11.6,189,2.1739130434782608,False,False,False,0,26,CAAAAA+Roboto-Regular,10.0,Buena,18,22,Sí,0.89%,0,Justificado,Consistente,Consistente,1
66,4,34,69,47,63,0,0,4,224,77,0,Orden Cronológico,Viñetas,12.86,945,1.9184652278177456,False,False,False,1,67,AAAAAE+ArialMT,10.0,Buena,99,0,Sí,0.08%,1,Justificado,Inconsistente,Inconsistente,1
67,2,0,109,48,79,0,0,0,0,14,0,Orden Cronológico,Viñetas,10.36,326,6.037735849056604,False,False,False,1,30,Cambria,10.0,Buena,42,4,Sí,0.01%,0,Justificado,Consistente,Consistente,1
68,2,29,285,86,72,13,17,0,28,20,4,Orden Cronológico,Viñetas,18.81,940,3.829029385574354,False,False,True,2,89,CAAAAA+OpenSans,7.6,Deficiente,125,0,Sí,4.41%,0,Justificado,Inconsistente,Consistente,1
69,2,68,37,11,1,11,0,26,243,134,0,Orden Cronológico,Mixto,21.91,1057,2.910798122065728,False,False,False,0,50,GJOFSB+SourceSansPro-Regular,9.0,Deficiente,20,0,Sí,0.08%,15,Justificado,Inconsistente,Consistente,1
70,2,52,227,21,7,91,23,49,54,110,8,Orden Cronológico,Viñetas,29.76,1101,2.9064486830154403,True,False,False,2,108,BAAAAA+Assistant-Regular,8.5,Deficiente,51,0,Sí,32.21%,1,Justificado,Inconsistente,Consistente,1
71,1,1,19,38,2,0,0,0,112,34,0,Orden Cronológico,Viñetas,27.56,368,2.6785714285714284,False,False,False,0,36,AAAAAE+AdelleSansDevanagari-Regular,10.0,Buena,50,0,Sí,0.86%,0,Justificado,Inconsistente,Consistente,1
72,10,334,147,80,90,0,56,151,106,54,0,Orden Cronológico,Viñetas,8.26,1383,2.282453637660485,False,False,True,1,113,BCDGEE+Cambria,11.0,Buena,188,2,Sí,0.77%,13,Justificado,Inconsistente,Inconsistente,1
73,3,110,15,72,0,0,47,79,109,14,57,Orden Cronológico,Mixto,19.46,767,5.0761421319796955,False,True,True,0,118,Helvetica,11.0,Buena,100,72,Sí,0.36%,1,Justificado,Consistente,Inconsistente,1
74,1,37,135,0,24,0,0,79,10,0,0,Orden Cronológico,Viñetas,22.85,418,6.91358024691358,False,False,False,1,37,BAAAAA+ClearSans,9.0,Deficiente,33,0,Sí,0.77%,1,Justificado,Inconsistente,Consistente,1
75,2,11,96,91,2,3,12,90,0,61,0,Orden Cronológico,Viñetas,12.93,557,3.5608308605341246,False,False,False,0,49,TDXBTP+Lato-Regular,9.0,Deficiente,62,0,Sí,31.63%,1,Justificado,Inconsistente,Consistente,1
76,2,85,48,40,107,29,0,77,110,55,32,Orden Cronológico,Viñetas,19.97,882,2.8089887640449436,False,False,False,0,58,BAAAAA+OpenSans-Regular,9.0,Deficiente,24,0,Sí,0.08%,0,Justificado,Inconsistente,Consistente,1
77,38,170,23,207,28,151,0,2,92,552,0,Orden Cronológico,Viñetas,7.17,2010,1.4866204162537164,False,False,True,4,867,BAAAAA+Montserrat-Light,9.6,Deficiente,477,0,Sí,3.19%,64,Justificado,Inconsistente,Inconsistente,1
78,1,1,8,58,0,0,0,71,0,0,0,Orden Cronológico,Viñetas,13.39,189,1.6574585635359116,False,False,False,0,18,CTUPDK+SourceSansPro-Regular,10.6,Buena,53,0,Sí,3.51%,3,Justificado,Inconsistente,Consistente,1
79,6,165,79,79,48,14,52,46,0,105,0,Orden Cronológico,Viñetas,12.08,995,4.040404040404041,False,True,True,0,247,MRIKDE+LMSans10-Regular,10.9,Buena,159,234,Sí,0.49%,1,Justificado,Inconsistente,Inconsistente,1
80,4,0,166,305,347,0,38,0,0,17,0,Orden Cronológico,Viñetas,14.38,1091,2.722323049001815,False,False,False,21,109,BAAAAA+Lato-Regular,10.0,Buena,58,0,Sí,0.25%,4,Justificado,Inconsistente,Inconsistente,1
81,1,48,70,56,0,0,0,15,26,24,0,Orden Cronológico,Mixto,20.14,414,3.64963503649635,True,False,True,0,48,Helvetica,9.0,Deficiente,52,39,Sí,1.93%,0,Justificado,Inconsistente,Consistente,1
82,4,52,104,205,22,17,0,6,0,188,0,Orden Cronológico,Mixto,17.86,820,10.748792270531402,True,True,False,0,72,CAAAAA+LiberationSerif,12.0,Buena,112,0,No,0.0%,0,Justificado,Consistente,Inconsistente,1
83,3,122,50,149,156,0,36,2,83,3,0,Orden Cronológico,Mixto,18.21,856,0.6944444444444444,False,False,True,0,64,BCDEEE+Verdana,10.0,Buena,124,2,Sí,0.49%,1,Justificado,Inconsistente,Inconsistente,1
84,10,242,241,23,18,21,0,429,96,123,56,Orden Cronológico,Viñetas,14.55,1808,4.562737642585551,False,False,False,3,147,AAAAAE+Calibri,12.0,Buena,105,0,Sí,0.19%,1,Justificado,Inconsistente,Inconsistente,1
85,3,3,50,111,0,0,0,41,50,88,7,Orden Cronológico,Viñetas,13.21,552,7.547169811320755,False,False,False,0,71,BAAAAA+OpenSans-Regular,10.0,Buena,55,8,Sí,0.34%,1,Justificado,Inconsistente,Inconsistente,1
86,7,91,235,43,11,0,0,14,22,49,0,Orden Cronológico,Viñetas,8.72,725,5.929919137466308,False,False,False,0,46,BCDFEE+Calibri,12.0,Buena,89,0,Sí,0.09%,14,Justificado,Consistente,Inconsistente,1
87,6,93,89,16,0,17,14,57,91,4,2,Orden Cronológico,Viñetas,21.26,587,8.290488431876607,False,False,False,15,342,EAAAAA+IBMPlexSans-Regular,10.0,Buena,86,0,Sí,0.35%,2,Justificado,Inconsistente,Inconsistente,1
88,2,0,51,102,26,82,23,65,0,0,0,Orden Cronológico,Viñetas,10.54,436,1.935483870967742,False,False,False,1,31,UOICSE+Montserrat-Regular,8.4,Deficiente,50,0,No,0.0%,0,Justificado,Inconsistente,Consistente,1
89,6,64,192,174,106,0,0,45,179,25,22,Orden Cronológico,Viñetas,22.24,1244,5.9259259259259265,False,False,False,0,94,AAAAAD+CourierNewPSMT,10.1,Buena,0,0,No,0.0%,1,Justificado,Consistente,Inconsistente,1
90,4,33,78,10,23,0,0,4,10,62,2,Orden Cronológico,Viñetas,18.15,263,8.759842519685039,False,False,False,0,191,BAAAAA+Questrial-Regular,10.0,Buena,11,0,Sí,0.35%,6,Justificado,Inconsistente,Inconsistente,1
91,4,37,29,28,0,0,0,0,158,69,38,Orden Cronológico,Viñetas,10.36,529,8.1419624217119,False,False,False,1,110,WSGAAV+TwCenMT-Regular,11.5,Buena,158,0,Sí,2.35%,1,Justificado,Inconsistente,Consistente,1
92,2,61,12,23,13,24,0,0,18,0,0,Orden Cronológico,Viñetas,8.32,216,5.263157894736842,False,False,False,3,41,,10.0,Buena,0,0,Sí,0.18%,0,Justificado,Inconsistente,Consistente,1
93,3,0,9,155,15,0,57,35,0,140,0,Orden Cronológico,Viñetas,12.6,608,4.934210526315789,False,False,False,0,74,FGQQLQ+Inter-Regular,10.0,Buena,81,0,Sí,2.91%,4,Justificado,Inconsistente,Inconsistente,1
94,4,112,103,11,6,17,0,9,224,29,0,Orden Cronológico,Viñetas,13.13,772,5.457025920873124,False,False,True,1,62,BCDFEE+Tahoma,10.0,Buena,61,0,Sí,0.33%,0,Justificado,Consistente,Inconsistente,1
95,2,21,45,21,6,0,0,10,47,1,6,Orden Cronológico,Viñetas,20.97,336,3.3112582781456954,False,False,False,13,168,SJRYBC+SourceSansPro-Light,10.0,Buena,0,0,Sí,0.58%,1,Justificado,Inconsistente,Consistente,1
96,2,15,99,10,2,18,0,78,43,12,0,Orden Cronológico,Viñetas,15.35,348,14.417177914110429,False,False,False,0,48,AAAAAL+CenturyGothic,11.0,Buena,19,27,Sí,1.37%,2,Justificado,Inconsistente,Consistente,1
97,3,39,59,149,93,29,0,0,29,76,90,Orden Cronológico,Mixto,18.09,941,7.886089813800658,False,False,False,0,53,CAAAAA+SourceCodeProRoman-Regular,9.0,Deficiente,16,19,Sí,0.24%,0,Justificado,Consistente,Inconsistente,1
98,3,121,85,27,44,0,34,0,79,58,0,Orden Cronológico,Mixto,16.61,793,5.6675062972292185,False,False,False,2,59,BCDFEE+Calibri,11.0,Buena,107,3,Sí,0.86%,1,Justificado,Inconsistente,Inconsistente,1
99,3,12,157,286,6,5,11,0,66,134,7,Orden Cronológico,Viñetas,16.38,1028,3.4482758620689653,False,False,False,0,91,EAAAAA+LiberationSans,8.5,Deficiente,63,0,Sí,0.87%,2,Justificado,Inconsistente,Inconsistente,1
100,1,6,95,16,90,0,0,24,0,12,0,Orden Cronológico,Viñetas,28.32,299,9.477124183006536,False,False,False,1,31,AAAAAA+Lora-Regular,12.0,Buena,118,0,No,0.0%,0,Justificado,Inconsistente,Consistente,1
101,3,70,145,104,66,49,37,6,50,17,0,Orden Cronológico,Viñetas,18.81,754,1.9178082191780823,True,False,False,0,40,BCDGEE+Aptos,11.0,Buena,32,0,Sí,0.05%,0,Justificado,Consistente,Inconsistente,1
102,4,80,187,202,31,85,114,0,145,112,3,Orden Cronológico,Viñetas,17.62,1233,5.2444444444444445,False,False,False,0,125,EAAAAA+ArialUnicodeMS,10.0,Buena,52,0,Sí,0.1%,10,Justificado,Inconsistente,Inconsistente,1
103,3,1,171,33,48,0,0,2,8,1,0,Orden Cronológico,Viñetas,16.77,341,3.6734693877551026,False,False,False,0,95,BAAAAA+Cambria,11.0,Buena,43,3,Sí,0.49%,9,Justificado,Inconsistente,Inconsistente,1
104,7,9,19,204,266,83,0,33,35,4,0,Orden Cronológico,Viñetas,13.38,926,2.7659574468085104,False,False,False,0,466,ArialMT,12.0,Buena,222,23,Sí,0.88%,1,Justificado,Inconsistente,Inconsistente,1
105,2,0,30,21,0,11,0,0,177,24,5,Orden Cronológico,Viñetas,13.98,511,1.3207547169811322,False,False,False,2,39,DAAAAA+Merriweather-Regular,9.0,Deficiente,28,14,Sí,0.07%,0,Justificado,Inconsistente,Consistente,1
106,3,24,34,13,69,5,0,4,118,54,0,Orden Cronológico,Viñetas,16.12,639,5.238828967642527,True,False,False,0,44,BCDHEE+Calibri,12.0,Buena,78,17,Sí,0.03%,0,Justificado,Inconsistente,Inconsistente,1
107,1,17,0,62,4,0,18,32,0,7,29,Orden Cronológico,Viñetas,17.27,303,6.748466257668712,False,False,False,1,43,QHBAAA+Roboto-Regular,8.0,Deficiente,61,47,Sí,14.8%,3,Justificado,Inconsistente,Consistente,1
108,3,28,186,94,71,6,2,29,0,39,1,Orden Cronológico,Viñetas,12.41,716,7.093821510297483,False,False,False,0,40,EYSHPM+Lato-Regular,9.0,Deficiente,190,0,Sí,31.91%,1,Justificado,Inconsistente,Inconsistente,1
109,3,58,107,263,41,37,0,0,152,52,0,Orden Cronológico,Viñetas,18.46,1112,3.9269406392694064,False,False,False,2,64,BCDFEE+Calibri,9.0,Deficiente,202,0,Sí,0.87%,0,Justificado,Inconsistente,Inconsistente,1
110,3,49,18,71,63,0,0,9,52,187,0,Orden Cronológico,Viñetas,11.49,606,9.724473257698541,False,False,True,0,56,AAAAAA+CenturyGothic,9.0,Deficiente,91,7,Sí,0.76%,2,Justificado,Inconsistente,Inconsistente,1
